kernel,dtype,impl,shape,numel,ms_median,ms_q20,ms_q80,gbps,tflops,pct_cublas,torch,triton,cuda,device,capability,power_mode,timestamp_utc
matmul,fp16,cublas,256x256x256,65536,0.01998,0.01971,0.02116,19.68,1.679,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,triton,256x256x256,65536,0.02038,0.01972,0.02112,19.29,1.646,98.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,cublas,512x512x512,262144,0.04723,0.0464,0.04804,33.3,5.683,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,triton,512x512x512,262144,0.04618,0.04515,0.04682,34.06,5.813,102.3,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,cublas,1024x1024x1024,1048576,0.2377,0.23645,0.23967,26.47,9.035,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,triton,1024x1024x1024,1048576,0.25478,0.25342,0.25594,24.69,8.429,93.3,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,cublas,2048x2048x2048,4194304,2.03677,2.02852,2.03999,12.36,8.435,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,triton,2048x2048x2048,4194304,2.25707,2.24771,2.2692,11.15,7.612,90.2,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,cublas,4096x4096x4096,16777216,16.14582,16.10229,16.24432,6.23,8.512,100.0,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
matmul,fp16,triton,4096x4096x4096,16777216,19.80784,19.73874,19.83454,5.08,6.939,81.5,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T07:02:27+00:00
