kernel,dtype,impl,shape,numel,ms_median,ms_q20,ms_q80,gbps,torch,triton,cuda,device,capability,power_mode,timestamp_utc
elementwise,fp16,triton_fused,65536,65536,0.01632,0.01587,0.01645,32.13,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,eager,65536,65536,0.03011,0.02961,0.0306,17.41,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,triton_fused,262144,262144,0.03602,0.0354,0.03646,58.23,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,eager,262144,262144,0.05757,0.05707,0.05832,36.43,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,triton_fused,1048576,1048576,0.10126,0.10055,0.10218,82.84,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,eager,1048576,1048576,0.19843,0.19728,0.20036,42.27,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,triton_fused,4194304,4194304,0.36005,0.35895,0.36087,93.19,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,eager,4194304,4194304,0.72114,0.72026,0.72176,46.53,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,triton_fused,16777216,16777216,1.40227,1.39869,1.40835,95.71,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,eager,16777216,16777216,2.79936,2.79229,2.80659,47.95,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,triton_fused,67108864,67108864,5.53597,5.53062,5.54122,96.98,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
elementwise,fp16,eager,67108864,67108864,11.24445,11.22397,11.2458,47.75,2.11.0,3.7.1,12.6,Orin,sm_87,MAXN_SUPER,2026-08-18T06:00:28+00:00
